product_id,product_name,default_code,category,stock_uom,stock_uom_categ,purchase_uom,purchase_uom_categ,last_po_uom,last_po_uom_categ,last_po_date,bom_line_uoms,bom_count,flags,proposed_bucket,proposed_kg_per_l
1159,Salted Shrimp,,All / RAW MATERIALS / Seafood,kg,Weight,kg,Weight,,,,kg,2,,,
880,"Scallions, fresh",,All / RAW MATERIALS / Fresh Produce / Vegetables,kg,Weight,kg,Weight,,,,kg,22,,,
877,"Scotch Bonnet Pepper, fresh",,All / RAW MATERIALS / Fresh Produce / Vegetables,kg,Weight,kg,Weight,,,,kg,16,,,
1161,Sesame Paste (Tahini),,All / RAW MATERIALS / Condiments & Liquids,kg,Weight,kg,Weight,,,,kg,2,,,
1162,Sesame Seeds,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,12,,,
949,Sodium benzoate (E211),,All / RAW MATERIALS / Dry Goods / Preservatives,kg,Weight,kg,Weight,,,,kg,8,,,
1163,Soy Meat,,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,2,,,
991,"Soy Sauce, dark",,All,kg,Weight,kg,Weight,,,,kg,6,,,
1164,Soybean Paste (Doenjang),,All / RAW MATERIALS / Condiments & Liquids,kg,Weight,kg,Weight,,,,kg,6,,,
1165,Spicy Potato Sauce,,All / SEMI-FINISHED GOODS / Sauces,kg,Weight,kg,Weight,,,,kg,2,,,
885,"Sugar, brown",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,13,,,
898,"Sugar, white 1kg",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,39,,,
905,"Sweet peppers, yellow, fresh",,All / RAW MATERIALS / Fresh Produce / Vegetables,kg,Weight,kg,Weight,,,,kg,4,,,
956,"Thyme, dried",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,2,,,
878,"Thyme, fresh",,All / RAW MATERIALS / Fresh Produce / Herbs & Greens,kg,Weight,kg,Weight,,,,kg,14,,,
964,"Tomato, fresh",,All,kg,Weight,kg,Weight,,,,kg,1,,,
917,"Turmeric, ground",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,3,,,
915,Vanilla extract Bourbon 500ml,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,1,,,
982,Vegetable Shortening,,All,kg,Weight,kg,Weight,,,,kg,1,,,
1571,WAJ - Boston Bay Jerk Dry Mix,,All,kg,Weight,kg,Weight,,,,kg,1,,,
847,WAJ All Purpose Seasoning,,All / SEMI-FINISHED GOODS / Spice Blends,kg,Weight,kg,Weight,,,,kg,1,,,
846,WAJ Curry Powder,,All / SEMI-FINISHED GOODS / Spice Blends,kg,Weight,kg,Weight,,,,kg,2,,,
875,WAJ Jerk Dry Mix v.1.5 Reduced MSG TEST,,All / SEMI-FINISHED GOODS / Spice Blends,kg,Weight,kg,Weight,,,,kg,1,,,
